Device:            cuda
Feature count:     9
Train/val rows:    5988/1498
Time budget:       300s
step 00000 | loss: 8.220192 | val_cindex: 0.760951 | best: 0.760951 | remaining: 299.5s
step 00500 | loss: 7.748041 | val_cindex: 0.768829 | best: 0.768829 | remaining: 296.9s
step 01000 | loss: 7.620687 | val_cindex: 0.749903 | best: 0.768829 | remaining: 294.3s
step 01500 | loss: 7.572352 | val_cindex: 0.737712 | best: 0.768829 | remaining: 291.8s
step 02000 | loss: 7.538434 | val_cindex: 0.729991 | best: 0.768829 | remaining: 289.1s
step 02500 | loss: 7.548135 | val_cindex: 0.729097 | best: 0.768829 | remaining: 286.7s
step 03000 | loss: 7.489974 | val_cindex: 0.731081 | best: 0.768829 | remaining: 284.4s
step 03500 | loss: 7.505278 | val_cindex: 0.721037 | best: 0.768829 | remaining: 281.7s
step 04000 | loss: 7.459595 | val_cindex: 0.727453 | best: 0.768829 | remaining: 279.3s
step 04500 | loss: 7.475525 | val_cindex: 0.726808 | best: 0.768829 | remaining: 276.9s
step 05000 | loss: 7.461579 | val_cindex: 0.721998 | best: 0.768829 | remaining: 274.3s
step 05500 | loss: 7.447577 | val_cindex: 0.718482 | best: 0.768829 | remaining: 271.9s
step 06000 | loss: 7.434741 | val_cindex: 0.720769 | best: 0.768829 | remaining: 269.6s
step 06500 | loss: 7.442269 | val_cindex: 0.718205 | best: 0.768829 | remaining: 267.0s
step 07000 | loss: 7.417681 | val_cindex: 0.719057 | best: 0.768829 | remaining: 264.6s
step 07500 | loss: 7.446626 | val_cindex: 0.719616 | best: 0.768829 | remaining: 261.8s
step 08000 | loss: 7.412258 | val_cindex: 0.716776 | best: 0.768829 | remaining: 258.9s
step 08500 | loss: 7.428001 | val_cindex: 0.716575 | best: 0.768829 | remaining: 256.1s
step 09000 | loss: 7.383702 | val_cindex: 0.719108 | best: 0.768829 | remaining: 253.8s
step 09500 | loss: 7.402386 | val_cindex: 0.716260 | best: 0.768829 | remaining: 251.4s
step 10000 | loss: 7.370501 | val_cindex: 0.713612 | best: 0.768829 | remaining: 249.0s
step 10500 | loss: 7.481992 | val_cindex: 0.712812 | best: 0.768829 | remaining: 246.6s
step 11000 | loss: 7.371113 | val_cindex: 0.713497 | best: 0.768829 | remaining: 243.8s
step 11500 | loss: 7.373512 | val_cindex: 0.714227 | best: 0.768829 | remaining: 241.2s
step 12000 | loss: 7.402134 | val_cindex: 0.713369 | best: 0.768829 | remaining: 238.4s
step 12500 | loss: 7.372859 | val_cindex: 0.714877 | best: 0.768829 | remaining: 236.2s
step 13000 | loss: 7.368531 | val_cindex: 0.711889 | best: 0.768829 | remaining: 233.7s
step 13500 | loss: 7.390465 | val_cindex: 0.715960 | best: 0.768829 | remaining: 231.2s
step 14000 | loss: 7.360302 | val_cindex: 0.711804 | best: 0.768829 | remaining: 228.9s
step 14500 | loss: 7.427315 | val_cindex: 0.706663 | best: 0.768829 | remaining: 226.5s
step 15000 | loss: 7.383454 | val_cindex: 0.710442 | best: 0.768829 | remaining: 224.0s
step 15500 | loss: 7.366558 | val_cindex: 0.707922 | best: 0.768829 | remaining: 221.8s
step 16000 | loss: 7.370789 | val_cindex: 0.710078 | best: 0.768829 | remaining: 219.5s
step 16500 | loss: 7.393904 | val_cindex: 0.707958 | best: 0.768829 | remaining: 217.0s
step 17000 | loss: 7.404795 | val_cindex: 0.710396 | best: 0.768829 | remaining: 214.9s
step 17500 | loss: 7.365203 | val_cindex: 0.712697 | best: 0.768829 | remaining: 212.7s
step 18000 | loss: 7.401232 | val_cindex: 0.708673 | best: 0.768829 | remaining: 210.3s
step 18500 | loss: 7.363032 | val_cindex: 0.712280 | best: 0.768829 | remaining: 208.0s
step 19000 | loss: 7.391657 | val_cindex: 0.711001 | best: 0.768829 | remaining: 205.7s
step 19500 | loss: 7.363321 | val_cindex: 0.709933 | best: 0.768829 | remaining: 203.2s
step 20000 | loss: 7.364883 | val_cindex: 0.706181 | best: 0.768829 | remaining: 201.0s
step 20500 | loss: 7.349726 | val_cindex: 0.709806 | best: 0.768829 | remaining: 198.6s
step 21000 | loss: 7.379780 | val_cindex: 0.708149 | best: 0.768829 | remaining: 196.2s
step 21500 | loss: 7.350906 | val_cindex: 0.708238 | best: 0.768829 | remaining: 193.9s
step 22000 | loss: 7.349052 | val_cindex: 0.710541 | best: 0.768829 | remaining: 191.6s
step 22500 | loss: 7.411814 | val_cindex: 0.711517 | best: 0.768829 | remaining: 189.2s
step 23000 | loss: 7.371195 | val_cindex: 0.708940 | best: 0.768829 | remaining: 186.8s
step 23500 | loss: 7.348738 | val_cindex: 0.707380 | best: 0.768829 | remaining: 184.5s
step 24000 | loss: 7.365204 | val_cindex: 0.710181 | best: 0.768829 | remaining: 182.2s
step 24500 | loss: 7.337771 | val_cindex: 0.708630 | best: 0.768829 | remaining: 179.7s
step 25000 | loss: 7.338274 | val_cindex: 0.707394 | best: 0.768829 | remaining: 177.4s
step 25500 | loss: 7.338395 | val_cindex: 0.709118 | best: 0.768829 | remaining: 174.1s
step 26000 | loss: 7.352705 | val_cindex: 0.706341 | best: 0.768829 | remaining: 171.2s
step 26500 | loss: 7.357434 | val_cindex: 0.705833 | best: 0.768829 | remaining: 168.9s
step 27000 | loss: 7.332767 | val_cindex: 0.707740 | best: 0.768829 | remaining: 166.5s
step 27500 | loss: 7.345933 | val_cindex: 0.703386 | best: 0.768829 | remaining: 164.1s
step 28000 | loss: 7.387017 | val_cindex: 0.707608 | best: 0.768829 | remaining: 161.9s
step 28500 | loss: 7.360035 | val_cindex: 0.704420 | best: 0.768829 | remaining: 159.6s
