Device:            cuda
Feature count:     10
Train/val rows:    5988/1498
Time budget:       60s
Pair count:        6
Headline delta:    0.010000
Kept val_cindex:   0.853950
Keep threshold:    0.854450
step 00000 | loss: 11.423868 | val_cindex: 0.355817 | best: 0.355817 | remaining: 59.4s
step 00020 | loss: 9.208502 | val_cindex: 0.684008 | best: 0.684008 | remaining: 58.8s
step 00040 | loss: 8.467707 | val_cindex: 0.812752 | best: 0.812752 | remaining: 58.2s
step 00060 | loss: 8.263747 | val_cindex: 0.841756 | best: 0.841756 | remaining: 57.7s
step 00080 | loss: 8.196430 | val_cindex: 0.849062 | best: 0.849062 | remaining: 57.2s
step 00100 | loss: 8.173353 | val_cindex: 0.851217 | best: 0.851217 | remaining: 56.7s
step 00120 | loss: 8.145421 | val_cindex: 0.852436 | best: 0.852436 | remaining: 56.2s
step 00140 | loss: 8.165200 | val_cindex: 0.852980 | best: 0.852980 | remaining: 55.8s
step 00160 | loss: 8.157901 | val_cindex: 0.853450 | best: 0.853450 | remaining: 55.3s
step 00180 | loss: 8.151764 | val_cindex: 0.853752 | best: 0.853752 | remaining: 54.8s
step 00200 | loss: 8.144619 | val_cindex: 0.853897 | best: 0.853897 | remaining: 54.4s
step 00220 | loss: 8.141165 | val_cindex: 0.853812 | best: 0.853897 | remaining: 53.9s
step 00240 | loss: 8.152127 | val_cindex: 0.853901 | best: 0.853901 | remaining: 53.5s
step 00260 | loss: 8.149617 | val_cindex: 0.853978 | best: 0.853978 | remaining: 53.0s
step 00280 | loss: 8.140633 | val_cindex: 0.853950 | best: 0.853978 | remaining: 52.5s
step 00300 | loss: 8.149709 | val_cindex: 0.853792 | best: 0.853978 | remaining: 52.0s
step 00320 | loss: 8.136333 | val_cindex: 0.853780 | best: 0.853978 | remaining: 51.6s
step 00340 | loss: 8.134303 | val_cindex: 0.853604 | best: 0.853978 | remaining: 51.1s
step 00360 | loss: 8.131719 | val_cindex: 0.853567 | best: 0.853978 | remaining: 50.6s
step 00380 | loss: 8.138246 | val_cindex: 0.853642 | best: 0.853978 | remaining: 50.1s
step 00400 | loss: 8.139751 | val_cindex: 0.853612 | best: 0.853978 | remaining: 49.6s
step 00420 | loss: 8.124221 | val_cindex: 0.853555 | best: 0.853978 | remaining: 49.1s
step 00440 | loss: 8.125706 | val_cindex: 0.853456 | best: 0.853978 | remaining: 48.6s
step 00460 | loss: 8.125633 | val_cindex: 0.853480 | best: 0.853978 | remaining: 48.1s
step 00480 | loss: 8.134484 | val_cindex: 0.853335 | best: 0.853978 | remaining: 47.6s
step 00500 | loss: 8.125130 | val_cindex: 0.853314 | best: 0.853978 | remaining: 47.2s
step 00520 | loss: 8.135916 | val_cindex: 0.853296 | best: 0.853978 | remaining: 46.7s
step 00540 | loss: 8.132860 | val_cindex: 0.853233 | best: 0.853978 | remaining: 46.3s
step 00560 | loss: 8.132730 | val_cindex: 0.853250 | best: 0.853978 | remaining: 45.8s
step 00580 | loss: 8.112743 | val_cindex: 0.853063 | best: 0.853978 | remaining: 45.4s
step 00600 | loss: 8.122636 | val_cindex: 0.853132 | best: 0.853978 | remaining: 44.9s
step 00620 | loss: 8.126069 | val_cindex: 0.853031 | best: 0.853978 | remaining: 44.4s
step 00640 | loss: 8.127657 | val_cindex: 0.853355 | best: 0.853978 | remaining: 43.8s
step 00660 | loss: 8.129947 | val_cindex: 0.853249 | best: 0.853978 | remaining: 43.4s
step 00680 | loss: 8.113037 | val_cindex: 0.853121 | best: 0.853978 | remaining: 42.9s
