Device:            cuda
Feature count:     10
Train/val rows:    5988/1498
Time budget:       60s
Pair count:        6
Headline delta:    0.010000
Kept val_cindex:   0.853950
Keep threshold:    0.854450
step 00000 | loss: 11.446849 | val_cindex: 0.346129 | best: 0.346129 | remaining: 59.7s
step 00020 | loss: 9.288796 | val_cindex: 0.653198 | best: 0.653198 | remaining: 59.3s
step 00040 | loss: 8.501135 | val_cindex: 0.808894 | best: 0.808894 | remaining: 59.0s
step 00060 | loss: 8.274725 | val_cindex: 0.841615 | best: 0.841615 | remaining: 58.7s
step 00080 | loss: 8.201135 | val_cindex: 0.848185 | best: 0.848185 | remaining: 58.3s
step 00100 | loss: 8.177237 | val_cindex: 0.850254 | best: 0.850254 | remaining: 57.9s
step 00120 | loss: 8.146220 | val_cindex: 0.851986 | best: 0.851986 | remaining: 57.5s
step 00140 | loss: 8.166499 | val_cindex: 0.852958 | best: 0.852958 | remaining: 57.1s
step 00160 | loss: 8.155360 | val_cindex: 0.853486 | best: 0.853486 | remaining: 56.8s
step 00180 | loss: 8.151011 | val_cindex: 0.853671 | best: 0.853671 | remaining: 56.4s
step 00200 | loss: 8.143412 | val_cindex: 0.853636 | best: 0.853671 | remaining: 56.1s
step 00220 | loss: 8.141151 | val_cindex: 0.853719 | best: 0.853719 | remaining: 55.8s
step 00240 | loss: 8.153286 | val_cindex: 0.853762 | best: 0.853762 | remaining: 55.5s
step 00260 | loss: 8.149014 | val_cindex: 0.853865 | best: 0.853865 | remaining: 55.2s
step 00280 | loss: 8.140415 | val_cindex: 0.853721 | best: 0.853865 | remaining: 54.8s
step 00300 | loss: 8.149301 | val_cindex: 0.853685 | best: 0.853865 | remaining: 54.5s
step 00320 | loss: 8.137065 | val_cindex: 0.853687 | best: 0.853865 | remaining: 54.1s
step 00340 | loss: 8.134936 | val_cindex: 0.853377 | best: 0.853865 | remaining: 53.8s
step 00360 | loss: 8.132510 | val_cindex: 0.853393 | best: 0.853865 | remaining: 53.5s
step 00380 | loss: 8.138173 | val_cindex: 0.853480 | best: 0.853865 | remaining: 53.2s
step 00400 | loss: 8.139045 | val_cindex: 0.853420 | best: 0.853865 | remaining: 52.9s
step 00420 | loss: 8.125830 | val_cindex: 0.853438 | best: 0.853865 | remaining: 52.6s
step 00440 | loss: 8.126850 | val_cindex: 0.853312 | best: 0.853865 | remaining: 52.2s
step 00460 | loss: 8.126928 | val_cindex: 0.853337 | best: 0.853865 | remaining: 51.9s
step 00480 | loss: 8.135552 | val_cindex: 0.853079 | best: 0.853865 | remaining: 51.6s
step 00500 | loss: 8.126948 | val_cindex: 0.853146 | best: 0.853865 | remaining: 51.3s
step 00520 | loss: 8.136394 | val_cindex: 0.853077 | best: 0.853865 | remaining: 51.0s
step 00540 | loss: 8.133970 | val_cindex: 0.852905 | best: 0.853865 | remaining: 50.7s
step 00560 | loss: 8.133712 | val_cindex: 0.853082 | best: 0.853865 | remaining: 50.4s
step 00580 | loss: 8.114058 | val_cindex: 0.852665 | best: 0.853865 | remaining: 50.0s
step 00600 | loss: 8.123014 | val_cindex: 0.852862 | best: 0.853865 | remaining: 49.7s
step 00620 | loss: 8.126754 | val_cindex: 0.852480 | best: 0.853865 | remaining: 49.3s
