Device:            cuda
Feature count:     10
Train/val rows:    5988/1498
Time budget:       60s
Pair count:        6
Headline delta:    0.010000
Kept val_cindex:   0.853950
Keep threshold:    0.854450
step 00000 | loss: 11.521670 | val_cindex: 0.343721 | best: 0.343721 | remaining: 59.4s
step 00020 | loss: 9.294664 | val_cindex: 0.662645 | best: 0.662645 | remaining: 59.1s
step 00040 | loss: 8.465981 | val_cindex: 0.815019 | best: 0.815019 | remaining: 58.7s
step 00060 | loss: 8.256310 | val_cindex: 0.843793 | best: 0.843793 | remaining: 58.4s
step 00080 | loss: 8.197680 | val_cindex: 0.849426 | best: 0.849426 | remaining: 58.1s
step 00100 | loss: 8.174258 | val_cindex: 0.851286 | best: 0.851286 | remaining: 57.8s
step 00120 | loss: 8.147125 | val_cindex: 0.852644 | best: 0.852644 | remaining: 57.4s
step 00140 | loss: 8.165320 | val_cindex: 0.853164 | best: 0.853164 | remaining: 56.9s
step 00160 | loss: 8.158471 | val_cindex: 0.853569 | best: 0.853569 | remaining: 56.6s
step 00180 | loss: 8.151719 | val_cindex: 0.853784 | best: 0.853784 | remaining: 56.2s
step 00200 | loss: 8.144604 | val_cindex: 0.853905 | best: 0.853905 | remaining: 55.9s
step 00220 | loss: 8.140859 | val_cindex: 0.853741 | best: 0.853905 | remaining: 55.6s
step 00240 | loss: 8.151471 | val_cindex: 0.853873 | best: 0.853905 | remaining: 55.3s
step 00260 | loss: 8.149522 | val_cindex: 0.853974 | best: 0.853974 | remaining: 55.0s
step 00280 | loss: 8.140663 | val_cindex: 0.853903 | best: 0.853974 | remaining: 54.7s
step 00300 | loss: 8.148876 | val_cindex: 0.853764 | best: 0.853974 | remaining: 54.4s
step 00320 | loss: 8.135519 | val_cindex: 0.853883 | best: 0.853974 | remaining: 54.1s
step 00340 | loss: 8.133289 | val_cindex: 0.853654 | best: 0.853974 | remaining: 53.8s
step 00360 | loss: 8.129900 | val_cindex: 0.853577 | best: 0.853974 | remaining: 53.5s
step 00380 | loss: 8.136664 | val_cindex: 0.853701 | best: 0.853974 | remaining: 53.1s
step 00400 | loss: 8.138523 | val_cindex: 0.853553 | best: 0.853974 | remaining: 52.7s
step 00420 | loss: 8.123060 | val_cindex: 0.853482 | best: 0.853974 | remaining: 52.4s
step 00440 | loss: 8.123993 | val_cindex: 0.853454 | best: 0.853974 | remaining: 52.1s
step 00460 | loss: 8.124305 | val_cindex: 0.853332 | best: 0.853974 | remaining: 51.8s
step 00480 | loss: 8.133644 | val_cindex: 0.853146 | best: 0.853974 | remaining: 51.5s
step 00500 | loss: 8.123358 | val_cindex: 0.853225 | best: 0.853974 | remaining: 51.2s
step 00520 | loss: 8.134394 | val_cindex: 0.853144 | best: 0.853974 | remaining: 50.9s
step 00540 | loss: 8.131484 | val_cindex: 0.853077 | best: 0.853974 | remaining: 50.6s
step 00560 | loss: 8.130259 | val_cindex: 0.853138 | best: 0.853974 | remaining: 50.3s
step 00580 | loss: 8.110830 | val_cindex: 0.852871 | best: 0.853974 | remaining: 50.0s
step 00600 | loss: 8.120239 | val_cindex: 0.853049 | best: 0.853974 | remaining: 49.7s
step 00620 | loss: 8.124443 | val_cindex: 0.852725 | best: 0.853974 | remaining: 49.3s
step 00640 | loss: 8.126136 | val_cindex: 0.853098 | best: 0.853974 | remaining: 49.0s
step 00660 | loss: 8.128049 | val_cindex: 0.853090 | best: 0.853974 | remaining: 48.7s
step 00680 | loss: 8.112469 | val_cindex: 0.853031 | best: 0.853974 | remaining: 48.3s
step 00700 | loss: 8.121129 | val_cindex: 0.852792 | best: 0.853974 | remaining: 47.9s
step 00720 | loss: 8.135066 | val_cindex: 0.852930 | best: 0.853974 | remaining: 47.5s
step 00740 | loss: 8.115932 | val_cindex: 0.852737 | best: 0.853974 | remaining: 47.2s
step 00760 | loss: 8.131687 | val_cindex: 0.852620 | best: 0.853974 | remaining: 46.9s
step 00780 | loss: 8.123412 | val_cindex: 0.852747 | best: 0.853974 | remaining: 46.6s
step 00800 | loss: 8.112598 | val_cindex: 0.852861 | best: 0.853974 | remaining: 46.3s
step 00820 | loss: 8.113325 | val_cindex: 0.852594 | best: 0.853974 | remaining: 46.0s
step 00840 | loss: 8.125269 | val_cindex: 0.852775 | best: 0.853974 | remaining: 45.7s
step 00860 | loss: 8.127738 | val_cindex: 0.852764 | best: 0.853974 | remaining: 45.4s
