Device:            cuda
Feature count:     10
Train/val rows:    5988/1498
Time budget:       60s
Pair count:        6
Headline delta:    0.010000
Kept val_cindex:   0.853950
Keep threshold:    0.854450
step 00000 | loss: 11.529339 | val_cindex: 0.344348 | best: 0.344348 | remaining: 59.6s
step 00020 | loss: 9.214219 | val_cindex: 0.685557 | best: 0.685557 | remaining: 59.2s
step 00040 | loss: 8.435223 | val_cindex: 0.819128 | best: 0.819128 | remaining: 58.8s
step 00060 | loss: 8.251699 | val_cindex: 0.843928 | best: 0.843928 | remaining: 58.5s
step 00080 | loss: 8.194334 | val_cindex: 0.849195 | best: 0.849195 | remaining: 58.1s
step 00100 | loss: 8.173429 | val_cindex: 0.850837 | best: 0.850837 | remaining: 57.8s
step 00120 | loss: 8.147021 | val_cindex: 0.852361 | best: 0.852361 | remaining: 57.4s
step 00140 | loss: 8.165970 | val_cindex: 0.853061 | best: 0.853061 | remaining: 57.0s
step 00160 | loss: 8.159223 | val_cindex: 0.853373 | best: 0.853373 | remaining: 56.6s
step 00180 | loss: 8.152464 | val_cindex: 0.853415 | best: 0.853415 | remaining: 56.3s
step 00200 | loss: 8.144829 | val_cindex: 0.853547 | best: 0.853547 | remaining: 56.0s
step 00220 | loss: 8.141507 | val_cindex: 0.853488 | best: 0.853547 | remaining: 55.7s
step 00240 | loss: 8.152517 | val_cindex: 0.853584 | best: 0.853584 | remaining: 55.3s
step 00260 | loss: 8.149837 | val_cindex: 0.853703 | best: 0.853703 | remaining: 54.9s
step 00280 | loss: 8.141227 | val_cindex: 0.853581 | best: 0.853703 | remaining: 54.6s
step 00300 | loss: 8.149301 | val_cindex: 0.853363 | best: 0.853703 | remaining: 54.2s
step 00320 | loss: 8.135548 | val_cindex: 0.853407 | best: 0.853703 | remaining: 53.9s
step 00340 | loss: 8.134143 | val_cindex: 0.853239 | best: 0.853703 | remaining: 53.5s
step 00360 | loss: 8.131299 | val_cindex: 0.853237 | best: 0.853703 | remaining: 53.2s
step 00380 | loss: 8.137783 | val_cindex: 0.853284 | best: 0.853703 | remaining: 52.9s
step 00400 | loss: 8.138381 | val_cindex: 0.853160 | best: 0.853703 | remaining: 52.6s
step 00420 | loss: 8.124359 | val_cindex: 0.853154 | best: 0.853703 | remaining: 52.3s
step 00440 | loss: 8.124462 | val_cindex: 0.852972 | best: 0.853703 | remaining: 51.9s
step 00460 | loss: 8.125131 | val_cindex: 0.852999 | best: 0.853703 | remaining: 51.6s
step 00480 | loss: 8.134102 | val_cindex: 0.852800 | best: 0.853703 | remaining: 51.3s
