Device:            cuda
Feature count:     10
Train/val rows:    5988/1498
Time budget:       60s
Pair count:        6
Headline delta:    0.010000
Kept val_cindex:   0.853950
Keep threshold:    0.854450
step 00000 | loss: 11.613838 | val_cindex: 0.334994 | best: 0.334994 | remaining: 59.6s
step 00020 | loss: 9.386927 | val_cindex: 0.636319 | best: 0.636319 | remaining: 59.2s
step 00040 | loss: 8.539248 | val_cindex: 0.804056 | best: 0.804056 | remaining: 58.8s
step 00060 | loss: 8.284642 | val_cindex: 0.841275 | best: 0.841275 | remaining: 58.4s
step 00080 | loss: 8.201731 | val_cindex: 0.848843 | best: 0.848843 | remaining: 58.1s
step 00100 | loss: 8.177939 | val_cindex: 0.850367 | best: 0.850367 | remaining: 57.6s
step 00120 | loss: 8.149143 | val_cindex: 0.851665 | best: 0.851665 | remaining: 57.2s
step 00140 | loss: 8.169216 | val_cindex: 0.852486 | best: 0.852486 | remaining: 56.8s
step 00160 | loss: 8.161877 | val_cindex: 0.853075 | best: 0.853075 | remaining: 56.4s
step 00180 | loss: 8.153312 | val_cindex: 0.853379 | best: 0.853379 | remaining: 56.0s
step 00200 | loss: 8.146299 | val_cindex: 0.853490 | best: 0.853490 | remaining: 55.5s
step 00220 | loss: 8.143162 | val_cindex: 0.853549 | best: 0.853549 | remaining: 55.0s
step 00240 | loss: 8.154960 | val_cindex: 0.853618 | best: 0.853618 | remaining: 54.6s
step 00260 | loss: 8.150839 | val_cindex: 0.853735 | best: 0.853735 | remaining: 54.2s
step 00280 | loss: 8.141578 | val_cindex: 0.853630 | best: 0.853735 | remaining: 53.7s
step 00300 | loss: 8.150731 | val_cindex: 0.853521 | best: 0.853735 | remaining: 53.1s
step 00320 | loss: 8.137288 | val_cindex: 0.853646 | best: 0.853735 | remaining: 52.6s
step 00340 | loss: 8.135695 | val_cindex: 0.853345 | best: 0.853735 | remaining: 52.2s
step 00360 | loss: 8.132894 | val_cindex: 0.853357 | best: 0.853735 | remaining: 51.8s
step 00380 | loss: 8.138469 | val_cindex: 0.853468 | best: 0.853735 | remaining: 51.4s
step 00400 | loss: 8.139553 | val_cindex: 0.853276 | best: 0.853735 | remaining: 51.0s
step 00420 | loss: 8.126092 | val_cindex: 0.853209 | best: 0.853735 | remaining: 50.6s
step 00440 | loss: 8.126163 | val_cindex: 0.853142 | best: 0.853735 | remaining: 50.3s
step 00460 | loss: 8.126303 | val_cindex: 0.853185 | best: 0.853735 | remaining: 49.9s
step 00480 | loss: 8.135083 | val_cindex: 0.852938 | best: 0.853735 | remaining: 49.5s
step 00500 | loss: 8.126145 | val_cindex: 0.852974 | best: 0.853735 | remaining: 49.2s
step 00520 | loss: 8.136724 | val_cindex: 0.852944 | best: 0.853735 | remaining: 48.8s
step 00540 | loss: 8.134526 | val_cindex: 0.852788 | best: 0.853735 | remaining: 48.4s
step 00560 | loss: 8.133268 | val_cindex: 0.852952 | best: 0.853735 | remaining: 48.0s
step 00580 | loss: 8.112930 | val_cindex: 0.852488 | best: 0.853735 | remaining: 47.6s
step 00600 | loss: 8.122429 | val_cindex: 0.852644 | best: 0.853735 | remaining: 47.2s
step 00620 | loss: 8.126789 | val_cindex: 0.852403 | best: 0.853735 | remaining: 46.8s
step 00640 | loss: 8.128697 | val_cindex: 0.852790 | best: 0.853735 | remaining: 46.3s
step 00660 | loss: 8.131364 | val_cindex: 0.852737 | best: 0.853735 | remaining: 46.0s
step 00680 | loss: 8.112677 | val_cindex: 0.852681 | best: 0.853735 | remaining: 45.6s
step 00700 | loss: 8.122670 | val_cindex: 0.852509 | best: 0.853735 | remaining: 45.2s
step 00720 | loss: 8.137259 | val_cindex: 0.852497 | best: 0.853735 | remaining: 44.8s
step 00740 | loss: 8.118285 | val_cindex: 0.852328 | best: 0.853735 | remaining: 44.3s
step 00760 | loss: 8.132391 | val_cindex: 0.852189 | best: 0.853735 | remaining: 43.7s
step 00780 | loss: 8.125764 | val_cindex: 0.852298 | best: 0.853735 | remaining: 43.3s
step 00800 | loss: 8.114214 | val_cindex: 0.852268 | best: 0.853735 | remaining: 42.9s
step 00820 | loss: 8.115647 | val_cindex: 0.852082 | best: 0.853735 | remaining: 42.5s
step 00840 | loss: 8.128313 | val_cindex: 0.852221 | best: 0.853735 | remaining: 42.1s
step 00860 | loss: 8.130849 | val_cindex: 0.852090 | best: 0.853735 | remaining: 41.7s
step 00880 | loss: 8.121572 | val_cindex: 0.852286 | best: 0.853735 | remaining: 41.4s
step 00900 | loss: 8.123506 | val_cindex: 0.852021 | best: 0.853735 | remaining: 41.0s
step 00920 | loss: 8.114860 | val_cindex: 0.851974 | best: 0.853735 | remaining: 40.6s
step 00940 | loss: 8.110667 | val_cindex: 0.851974 | best: 0.853735 | remaining: 40.2s
step 00960 | loss: 8.121889 | val_cindex: 0.852037 | best: 0.853735 | remaining: 39.9s
step 00980 | loss: 8.107855 | val_cindex: 0.852003 | best: 0.853735 | remaining: 39.5s
step 01000 | loss: 8.099113 | val_cindex: 0.851976 | best: 0.853735 | remaining: 39.1s
step 01020 | loss: 8.121799 | val_cindex: 0.851851 | best: 0.853735 | remaining: 38.6s
step 01040 | loss: 8.127239 | val_cindex: 0.851899 | best: 0.853735 | remaining: 38.3s
step 01060 | loss: 8.109892 | val_cindex: 0.851972 | best: 0.853735 | remaining: 37.9s
step 01080 | loss: 8.118340 | val_cindex: 0.851758 | best: 0.853735 | remaining: 37.5s
step 01100 | loss: 8.118685 | val_cindex: 0.851796 | best: 0.853735 | remaining: 37.1s
step 01120 | loss: 8.109724 | val_cindex: 0.851816 | best: 0.853735 | remaining: 36.7s
step 01140 | loss: 8.111946 | val_cindex: 0.851772 | best: 0.853735 | remaining: 36.3s
