Device:            cuda
Feature count:     10
Train/val rows:    5988/1498
Time budget:       60s
Pair count:        6
Headline delta:    0.010000
Kept val_cindex:   0.853950
Keep threshold:    0.854450
step 00000 | loss: 11.529339 | val_cindex: 0.343972 | best: 0.343972 | remaining: 59.6s
step 00020 | loss: 9.256866 | val_cindex: 0.673390 | best: 0.673390 | remaining: 59.3s
step 00040 | loss: 8.459904 | val_cindex: 0.815616 | best: 0.815616 | remaining: 58.8s
step 00060 | loss: 8.257051 | val_cindex: 0.843503 | best: 0.843503 | remaining: 58.4s
step 00080 | loss: 8.195492 | val_cindex: 0.848885 | best: 0.848885 | remaining: 58.1s
step 00100 | loss: 8.175191 | val_cindex: 0.850482 | best: 0.850482 | remaining: 57.7s
step 00120 | loss: 8.147984 | val_cindex: 0.852065 | best: 0.852065 | remaining: 57.4s
step 00140 | loss: 8.167186 | val_cindex: 0.852802 | best: 0.852802 | remaining: 57.0s
step 00160 | loss: 8.160177 | val_cindex: 0.853333 | best: 0.853333 | remaining: 56.7s
step 00180 | loss: 8.153264 | val_cindex: 0.853452 | best: 0.853452 | remaining: 56.4s
step 00200 | loss: 8.145704 | val_cindex: 0.853494 | best: 0.853494 | remaining: 56.1s
step 00220 | loss: 8.142498 | val_cindex: 0.853468 | best: 0.853494 | remaining: 55.7s
step 00240 | loss: 8.153528 | val_cindex: 0.853575 | best: 0.853575 | remaining: 55.4s
step 00260 | loss: 8.150551 | val_cindex: 0.853614 | best: 0.853614 | remaining: 55.1s
step 00280 | loss: 8.141615 | val_cindex: 0.853551 | best: 0.853614 | remaining: 54.7s
step 00300 | loss: 8.150129 | val_cindex: 0.853343 | best: 0.853614 | remaining: 54.3s
step 00320 | loss: 8.136480 | val_cindex: 0.853300 | best: 0.853614 | remaining: 54.0s
step 00340 | loss: 8.134814 | val_cindex: 0.853118 | best: 0.853614 | remaining: 53.6s
step 00360 | loss: 8.131853 | val_cindex: 0.853148 | best: 0.853614 | remaining: 53.3s
step 00380 | loss: 8.138275 | val_cindex: 0.853233 | best: 0.853614 | remaining: 53.0s
step 00400 | loss: 8.138697 | val_cindex: 0.853110 | best: 0.853614 | remaining: 52.7s
step 00420 | loss: 8.125029 | val_cindex: 0.853069 | best: 0.853614 | remaining: 52.4s
step 00440 | loss: 8.125126 | val_cindex: 0.852956 | best: 0.853614 | remaining: 52.0s
step 00460 | loss: 8.125472 | val_cindex: 0.852996 | best: 0.853614 | remaining: 51.7s
step 00480 | loss: 8.134440 | val_cindex: 0.852782 | best: 0.853614 | remaining: 51.3s
step 00500 | loss: 8.124896 | val_cindex: 0.852741 | best: 0.853614 | remaining: 51.0s
step 00520 | loss: 8.135891 | val_cindex: 0.852741 | best: 0.853614 | remaining: 50.7s
step 00540 | loss: 8.133945 | val_cindex: 0.852541 | best: 0.853614 | remaining: 50.3s
step 00560 | loss: 8.132627 | val_cindex: 0.852743 | best: 0.853614 | remaining: 50.0s
step 00580 | loss: 8.111978 | val_cindex: 0.852405 | best: 0.853614 | remaining: 49.7s
step 00600 | loss: 8.121284 | val_cindex: 0.852430 | best: 0.853614 | remaining: 49.4s
step 00620 | loss: 8.125622 | val_cindex: 0.852219 | best: 0.853614 | remaining: 49.0s
step 00640 | loss: 8.127537 | val_cindex: 0.852555 | best: 0.853614 | remaining: 48.7s
step 00660 | loss: 8.129758 | val_cindex: 0.852420 | best: 0.853614 | remaining: 48.4s
step 00680 | loss: 8.113108 | val_cindex: 0.852434 | best: 0.853614 | remaining: 48.0s
step 00700 | loss: 8.122584 | val_cindex: 0.852284 | best: 0.853614 | remaining: 47.7s
step 00720 | loss: 8.135973 | val_cindex: 0.852422 | best: 0.853614 | remaining: 47.4s
step 00740 | loss: 8.118565 | val_cindex: 0.852212 | best: 0.853614 | remaining: 47.1s
step 00760 | loss: 8.133446 | val_cindex: 0.852167 | best: 0.853614 | remaining: 46.8s
step 00780 | loss: 8.125323 | val_cindex: 0.852187 | best: 0.853614 | remaining: 46.4s
step 00800 | loss: 8.114184 | val_cindex: 0.852193 | best: 0.853614 | remaining: 46.1s
step 00820 | loss: 8.115084 | val_cindex: 0.852063 | best: 0.853614 | remaining: 45.7s
step 00840 | loss: 8.127460 | val_cindex: 0.852207 | best: 0.853614 | remaining: 45.3s
step 00860 | loss: 8.129903 | val_cindex: 0.852019 | best: 0.853614 | remaining: 44.9s
step 00880 | loss: 8.121953 | val_cindex: 0.852142 | best: 0.853614 | remaining: 44.6s
step 00900 | loss: 8.123345 | val_cindex: 0.851883 | best: 0.853614 | remaining: 44.3s
step 00920 | loss: 8.115032 | val_cindex: 0.852080 | best: 0.853614 | remaining: 44.0s
step 00940 | loss: 8.110177 | val_cindex: 0.851934 | best: 0.853614 | remaining: 43.7s
step 00960 | loss: 8.122638 | val_cindex: 0.851910 | best: 0.853614 | remaining: 43.4s
step 00980 | loss: 8.107687 | val_cindex: 0.852011 | best: 0.853614 | remaining: 43.1s
step 01000 | loss: 8.100268 | val_cindex: 0.851964 | best: 0.853614 | remaining: 42.8s
step 01020 | loss: 8.122532 | val_cindex: 0.851608 | best: 0.853614 | remaining: 42.5s
step 01040 | loss: 8.127209 | val_cindex: 0.851857 | best: 0.853614 | remaining: 42.2s
step 01060 | loss: 8.111187 | val_cindex: 0.851772 | best: 0.853614 | remaining: 41.9s
step 01080 | loss: 8.117280 | val_cindex: 0.851792 | best: 0.853614 | remaining: 41.6s
step 01100 | loss: 8.118506 | val_cindex: 0.851630 | best: 0.853614 | remaining: 41.3s
step 01120 | loss: 8.109310 | val_cindex: 0.851614 | best: 0.853614 | remaining: 40.9s
step 01140 | loss: 8.113108 | val_cindex: 0.851541 | best: 0.853614 | remaining: 40.6s
step 01160 | loss: 8.111933 | val_cindex: 0.851744 | best: 0.853614 | remaining: 40.3s
step 01180 | loss: 8.119345 | val_cindex: 0.851466 | best: 0.853614 | remaining: 40.0s
step 01200 | loss: 8.108080 | val_cindex: 0.850999 | best: 0.853614 | remaining: 39.7s
step 01220 | loss: 8.110882 | val_cindex: 0.851033 | best: 0.853614 | remaining: 39.4s
step 01240 | loss: 8.102498 | val_cindex: 0.851397 | best: 0.853614 | remaining: 39.0s
step 01260 | loss: 8.108148 | val_cindex: 0.851383 | best: 0.853614 | remaining: 38.7s
step 01280 | loss: 8.116668 | val_cindex: 0.850970 | best: 0.853614 | remaining: 38.4s
