Device:            cuda
Feature count:     10
Train/val rows:    5988/1498
Time budget:       60s
Pair count:        6
Headline delta:    0.010000
Kept val_cindex:   0.853950
Keep threshold:    0.854450
step 00000 | loss: 11.410446 | val_cindex: 0.290863 | best: 0.290863 | remaining: 59.6s
step 00020 | loss: 8.939413 | val_cindex: 0.708197 | best: 0.708197 | remaining: 59.1s
step 00040 | loss: 8.352561 | val_cindex: 0.831063 | best: 0.831063 | remaining: 58.7s
step 00060 | loss: 8.242770 | val_cindex: 0.845535 | best: 0.845535 | remaining: 58.2s
step 00080 | loss: 8.205137 | val_cindex: 0.849661 | best: 0.849661 | remaining: 57.7s
step 00100 | loss: 8.192131 | val_cindex: 0.851055 | best: 0.851055 | remaining: 57.0s
step 00120 | loss: 8.153873 | val_cindex: 0.851837 | best: 0.851837 | remaining: 56.5s
step 00140 | loss: 8.166759 | val_cindex: 0.852227 | best: 0.852227 | remaining: 55.9s
step 00160 | loss: 8.156343 | val_cindex: 0.852535 | best: 0.852535 | remaining: 55.4s
step 00180 | loss: 8.161448 | val_cindex: 0.852826 | best: 0.852826 | remaining: 54.9s
step 00200 | loss: 8.134324 | val_cindex: 0.852820 | best: 0.852826 | remaining: 54.5s
step 00220 | loss: 8.137604 | val_cindex: 0.852784 | best: 0.852826 | remaining: 54.0s
step 00240 | loss: 8.136804 | val_cindex: 0.852936 | best: 0.852936 | remaining: 53.6s
step 00260 | loss: 8.129418 | val_cindex: 0.852918 | best: 0.852936 | remaining: 53.1s
step 00280 | loss: 8.132670 | val_cindex: 0.852804 | best: 0.852936 | remaining: 52.7s
step 00300 | loss: 8.140245 | val_cindex: 0.852792 | best: 0.852936 | remaining: 52.3s
step 00320 | loss: 8.130945 | val_cindex: 0.852918 | best: 0.852936 | remaining: 51.8s
step 00340 | loss: 8.117629 | val_cindex: 0.852899 | best: 0.852936 | remaining: 51.4s
step 00360 | loss: 8.117731 | val_cindex: 0.852758 | best: 0.852936 | remaining: 51.0s
step 00380 | loss: 8.119212 | val_cindex: 0.852970 | best: 0.852970 | remaining: 50.6s
step 00400 | loss: 8.120506 | val_cindex: 0.853005 | best: 0.853005 | remaining: 50.2s
step 00420 | loss: 8.117352 | val_cindex: 0.852903 | best: 0.853005 | remaining: 49.7s
