Device:            cuda
Feature count:     9
Train/val rows:    5988/1498
Time budget:       300s
step 00000 | loss: 8.220191 | val_cindex: 0.760917 | best: 0.760917 | remaining: 299.6s
step 00050 | loss: 8.050844 | val_cindex: 0.764441 | best: 0.764441 | remaining: 299.4s
step 00100 | loss: 7.945985 | val_cindex: 0.770866 | best: 0.770866 | remaining: 299.2s
step 00150 | loss: 7.913272 | val_cindex: 0.772975 | best: 0.772975 | remaining: 299.0s
step 00200 | loss: 7.902114 | val_cindex: 0.773518 | best: 0.773518 | remaining: 298.8s
step 00250 | loss: 7.893986 | val_cindex: 0.773706 | best: 0.773706 | remaining: 298.5s
step 00300 | loss: 7.887221 | val_cindex: 0.773052 | best: 0.773706 | remaining: 298.3s
step 00350 | loss: 7.886808 | val_cindex: 0.773161 | best: 0.773706 | remaining: 298.1s
step 00400 | loss: 7.880773 | val_cindex: 0.772449 | best: 0.773706 | remaining: 297.8s
step 00450 | loss: 7.858111 | val_cindex: 0.773173 | best: 0.773706 | remaining: 297.5s
step 00500 | loss: 7.853678 | val_cindex: 0.774307 | best: 0.774307 | remaining: 297.2s
step 00550 | loss: 7.839390 | val_cindex: 0.774839 | best: 0.774839 | remaining: 297.0s
step 00600 | loss: 7.822716 | val_cindex: 0.774533 | best: 0.774839 | remaining: 296.7s
step 00650 | loss: 7.808190 | val_cindex: 0.775930 | best: 0.775930 | remaining: 296.5s
step 00700 | loss: 7.805896 | val_cindex: 0.774759 | best: 0.775930 | remaining: 296.3s
step 00750 | loss: 7.791600 | val_cindex: 0.772880 | best: 0.775930 | remaining: 296.1s
step 00800 | loss: 7.780155 | val_cindex: 0.771663 | best: 0.775930 | remaining: 295.8s
step 00850 | loss: 7.770196 | val_cindex: 0.766817 | best: 0.775930 | remaining: 295.5s
step 00900 | loss: 7.762172 | val_cindex: 0.765510 | best: 0.775930 | remaining: 295.2s
step 00950 | loss: 7.760810 | val_cindex: 0.761727 | best: 0.775930 | remaining: 294.9s
step 01000 | loss: 7.741132 | val_cindex: 0.759002 | best: 0.775930 | remaining: 294.7s
step 01050 | loss: 7.739619 | val_cindex: 0.757184 | best: 0.775930 | remaining: 294.6s
step 01100 | loss: 7.737583 | val_cindex: 0.753120 | best: 0.775930 | remaining: 294.4s
step 01150 | loss: 7.720551 | val_cindex: 0.752409 | best: 0.775930 | remaining: 294.2s
step 01200 | loss: 7.715773 | val_cindex: 0.751923 | best: 0.775930 | remaining: 294.0s
step 01250 | loss: 7.706719 | val_cindex: 0.751083 | best: 0.775930 | remaining: 293.7s
step 01300 | loss: 7.697617 | val_cindex: 0.749800 | best: 0.775930 | remaining: 293.5s
step 01350 | loss: 7.672758 | val_cindex: 0.748383 | best: 0.775930 | remaining: 293.3s
step 01400 | loss: 7.665583 | val_cindex: 0.748671 | best: 0.775930 | remaining: 293.1s
step 01450 | loss: 7.675787 | val_cindex: 0.745906 | best: 0.775930 | remaining: 292.9s
step 01500 | loss: 7.660269 | val_cindex: 0.748859 | best: 0.775930 | remaining: 292.7s
step 01550 | loss: 7.649336 | val_cindex: 0.747420 | best: 0.775930 | remaining: 292.5s
step 01600 | loss: 7.664041 | val_cindex: 0.745774 | best: 0.775930 | remaining: 292.3s
step 01650 | loss: 7.647918 | val_cindex: 0.747229 | best: 0.775930 | remaining: 292.1s
step 01700 | loss: 7.647527 | val_cindex: 0.749721 | best: 0.775930 | remaining: 291.9s
step 01750 | loss: 7.659611 | val_cindex: 0.745430 | best: 0.775930 | remaining: 291.6s
step 01800 | loss: 7.631296 | val_cindex: 0.745630 | best: 0.775930 | remaining: 291.4s
step 01850 | loss: 7.635861 | val_cindex: 0.746626 | best: 0.775930 | remaining: 291.2s
step 01900 | loss: 7.637555 | val_cindex: 0.745635 | best: 0.775930 | remaining: 291.0s
step 01950 | loss: 7.631715 | val_cindex: 0.747995 | best: 0.775930 | remaining: 290.7s
step 02000 | loss: 7.626813 | val_cindex: 0.745517 | best: 0.775930 | remaining: 290.5s
step 02050 | loss: 7.621932 | val_cindex: 0.745270 | best: 0.775930 | remaining: 290.3s
step 02100 | loss: 7.622046 | val_cindex: 0.743649 | best: 0.775930 | remaining: 290.1s
step 02150 | loss: 7.632178 | val_cindex: 0.745883 | best: 0.775930 | remaining: 289.9s
step 02200 | loss: 7.625609 | val_cindex: 0.745729 | best: 0.775930 | remaining: 289.7s
step 02250 | loss: 7.615435 | val_cindex: 0.742264 | best: 0.775930 | remaining: 289.5s
step 02300 | loss: 7.610456 | val_cindex: 0.743912 | best: 0.775930 | remaining: 289.3s
step 02350 | loss: 7.615437 | val_cindex: 0.743468 | best: 0.775930 | remaining: 289.1s
step 02400 | loss: 7.613848 | val_cindex: 0.742825 | best: 0.775930 | remaining: 288.9s
step 02450 | loss: 7.597353 | val_cindex: 0.743135 | best: 0.775930 | remaining: 288.7s
step 02500 | loss: 7.604096 | val_cindex: 0.741981 | best: 0.775930 | remaining: 288.5s
step 02550 | loss: 7.609629 | val_cindex: 0.741667 | best: 0.775930 | remaining: 288.2s
step 02600 | loss: 7.586873 | val_cindex: 0.742167 | best: 0.775930 | remaining: 288.0s
step 02650 | loss: 7.615003 | val_cindex: 0.741361 | best: 0.775930 | remaining: 287.8s
step 02700 | loss: 7.631123 | val_cindex: 0.740570 | best: 0.775930 | remaining: 287.6s
step 02750 | loss: 7.605012 | val_cindex: 0.743181 | best: 0.775930 | remaining: 287.5s
step 02800 | loss: 7.609907 | val_cindex: 0.743258 | best: 0.775930 | remaining: 287.3s
step 02850 | loss: 7.605989 | val_cindex: 0.742133 | best: 0.775930 | remaining: 287.0s
step 02900 | loss: 7.607307 | val_cindex: 0.741343 | best: 0.775930 | remaining: 286.8s
step 02950 | loss: 7.579509 | val_cindex: 0.741985 | best: 0.775930 | remaining: 286.6s
step 03000 | loss: 7.609946 | val_cindex: 0.743744 | best: 0.775930 | remaining: 286.4s
step 03050 | loss: 7.622496 | val_cindex: 0.741845 | best: 0.775930 | remaining: 286.2s
step 03100 | loss: 7.606113 | val_cindex: 0.741114 | best: 0.775930 | remaining: 286.0s
step 03150 | loss: 7.607609 | val_cindex: 0.740970 | best: 0.775930 | remaining: 285.8s
step 03200 | loss: 7.590980 | val_cindex: 0.740608 | best: 0.775930 | remaining: 285.6s
step 03250 | loss: 7.579313 | val_cindex: 0.741009 | best: 0.775930 | remaining: 285.4s
step 03300 | loss: 7.586364 | val_cindex: 0.743339 | best: 0.775930 | remaining: 285.2s
step 03350 | loss: 7.579657 | val_cindex: 0.742388 | best: 0.775930 | remaining: 285.0s
step 03400 | loss: 7.581758 | val_cindex: 0.740329 | best: 0.775930 | remaining: 284.8s
step 03450 | loss: 7.594528 | val_cindex: 0.741752 | best: 0.775930 | remaining: 284.5s
step 03500 | loss: 7.591506 | val_cindex: 0.741120 | best: 0.775930 | remaining: 284.3s
step 03550 | loss: 7.579481 | val_cindex: 0.740863 | best: 0.775930 | remaining: 284.1s
step 03600 | loss: 7.579068 | val_cindex: 0.738651 | best: 0.775930 | remaining: 283.9s
step 03650 | loss: 7.567266 | val_cindex: 0.737173 | best: 0.775930 | remaining: 283.7s
step 03700 | loss: 7.576844 | val_cindex: 0.738685 | best: 0.775930 | remaining: 283.5s
step 03750 | loss: 7.598947 | val_cindex: 0.743262 | best: 0.775930 | remaining: 283.3s
step 03800 | loss: 7.606090 | val_cindex: 0.739400 | best: 0.775930 | remaining: 283.1s
step 03850 | loss: 7.575269 | val_cindex: 0.738148 | best: 0.775930 | remaining: 282.9s
step 03900 | loss: 7.572989 | val_cindex: 0.739380 | best: 0.775930 | remaining: 282.7s
step 03950 | loss: 7.592496 | val_cindex: 0.737787 | best: 0.775930 | remaining: 282.5s
step 04000 | loss: 7.558551 | val_cindex: 0.739627 | best: 0.775930 | remaining: 282.3s
step 04050 | loss: 7.571899 | val_cindex: 0.738264 | best: 0.775930 | remaining: 282.0s
step 04100 | loss: 7.562463 | val_cindex: 0.736588 | best: 0.775930 | remaining: 281.8s
step 04150 | loss: 7.574713 | val_cindex: 0.737465 | best: 0.775930 | remaining: 281.6s
step 04200 | loss: 7.567069 | val_cindex: 0.737214 | best: 0.775930 | remaining: 281.4s
step 04250 | loss: 7.593722 | val_cindex: 0.736501 | best: 0.775930 | remaining: 281.2s
step 04300 | loss: 7.593267 | val_cindex: 0.736084 | best: 0.775930 | remaining: 281.0s
step 04350 | loss: 7.561101 | val_cindex: 0.736273 | best: 0.775930 | remaining: 280.8s
step 04400 | loss: 7.573226 | val_cindex: 0.735669 | best: 0.775930 | remaining: 280.6s
step 04450 | loss: 7.575355 | val_cindex: 0.738834 | best: 0.775930 | remaining: 280.4s
step 04500 | loss: 7.571031 | val_cindex: 0.736625 | best: 0.775930 | remaining: 280.2s
step 04550 | loss: 7.569708 | val_cindex: 0.736165 | best: 0.775930 | remaining: 279.9s
---
val_cindex:       0.775929
training_seconds: 20.1
total_seconds:    92.8
peak_vram_mb:     21.2
num_steps:        4550
num_params:       1091
best_step:        650
stop_reason:      early_stop
artifact_path:    C:\Users\user\Desktop\PhenoAge2\autoresearch\candidate_pa2.pt
