Device:            cuda
Feature count:     9
Train/val rows:    5988/1498
Time budget:       300s
step 00000 | loss: 8.211138 | val_cindex: 0.760814 | best: 0.760814 | remaining: 299.6s
step 00050 | loss: 8.101045 | val_cindex: 0.766811 | best: 0.766811 | remaining: 299.5s
step 00100 | loss: 8.020591 | val_cindex: 0.764570 | best: 0.766811 | remaining: 299.3s
step 00150 | loss: 7.979902 | val_cindex: 0.770497 | best: 0.770497 | remaining: 299.1s
step 00200 | loss: 7.951409 | val_cindex: 0.775023 | best: 0.775023 | remaining: 298.9s
step 00250 | loss: 7.941111 | val_cindex: 0.777973 | best: 0.777973 | remaining: 298.7s
step 00300 | loss: 7.930637 | val_cindex: 0.778818 | best: 0.778818 | remaining: 298.5s
step 00350 | loss: 7.924746 | val_cindex: 0.778841 | best: 0.778818 | remaining: 298.4s
step 00400 | loss: 7.923657 | val_cindex: 0.778837 | best: 0.778818 | remaining: 298.2s
step 00450 | loss: 7.925386 | val_cindex: 0.779005 | best: 0.779005 | remaining: 298.0s
step 00500 | loss: 7.910196 | val_cindex: 0.778517 | best: 0.779005 | remaining: 297.8s
step 00550 | loss: 7.913242 | val_cindex: 0.777353 | best: 0.779005 | remaining: 297.6s
step 00600 | loss: 7.916102 | val_cindex: 0.777404 | best: 0.779005 | remaining: 297.4s
step 00650 | loss: 7.917292 | val_cindex: 0.776912 | best: 0.779005 | remaining: 297.3s
step 00700 | loss: 7.908200 | val_cindex: 0.777252 | best: 0.779005 | remaining: 297.1s
step 00750 | loss: 7.904422 | val_cindex: 0.776711 | best: 0.779005 | remaining: 296.9s
step 00800 | loss: 7.905324 | val_cindex: 0.776912 | best: 0.779005 | remaining: 296.7s
step 00850 | loss: 7.905433 | val_cindex: 0.776740 | best: 0.779005 | remaining: 296.5s
step 00900 | loss: 7.908270 | val_cindex: 0.776489 | best: 0.779005 | remaining: 296.3s
step 00950 | loss: 7.903189 | val_cindex: 0.776368 | best: 0.779005 | remaining: 296.1s
step 01000 | loss: 7.904552 | val_cindex: 0.776554 | best: 0.779005 | remaining: 295.9s
step 01050 | loss: 7.898011 | val_cindex: 0.776363 | best: 0.779005 | remaining: 295.7s
step 01100 | loss: 7.904291 | val_cindex: 0.776572 | best: 0.779005 | remaining: 295.5s
step 01150 | loss: 7.902247 | val_cindex: 0.776960 | best: 0.779005 | remaining: 295.4s
step 01200 | loss: 7.900632 | val_cindex: 0.776444 | best: 0.779005 | remaining: 295.2s
step 01250 | loss: 7.901758 | val_cindex: 0.776483 | best: 0.779005 | remaining: 295.0s
step 01300 | loss: 7.894711 | val_cindex: 0.776780 | best: 0.779005 | remaining: 294.8s
step 01350 | loss: 7.892346 | val_cindex: 0.776942 | best: 0.779005 | remaining: 294.6s
step 01400 | loss: 7.894589 | val_cindex: 0.776631 | best: 0.779005 | remaining: 294.4s
step 01450 | loss: 7.891458 | val_cindex: 0.776078 | best: 0.779005 | remaining: 294.2s
step 01500 | loss: 7.894814 | val_cindex: 0.776226 | best: 0.779005 | remaining: 294.1s
step 01550 | loss: 7.902425 | val_cindex: 0.776560 | best: 0.779005 | remaining: 293.8s
step 01600 | loss: 7.898092 | val_cindex: 0.776697 | best: 0.779005 | remaining: 293.7s
step 01650 | loss: 7.888273 | val_cindex: 0.775983 | best: 0.779005 | remaining: 293.5s
step 01700 | loss: 7.889641 | val_cindex: 0.776584 | best: 0.779005 | remaining: 293.2s
step 01750 | loss: 7.890845 | val_cindex: 0.776458 | best: 0.779005 | remaining: 293.0s
step 01800 | loss: 7.892308 | val_cindex: 0.775600 | best: 0.779005 | remaining: 292.9s
step 01850 | loss: 7.891857 | val_cindex: 0.775712 | best: 0.779005 | remaining: 292.7s
step 01900 | loss: 7.902114 | val_cindex: 0.775274 | best: 0.779005 | remaining: 292.5s
step 01950 | loss: 7.883879 | val_cindex: 0.775044 | best: 0.779005 | remaining: 292.3s
step 02000 | loss: 7.892581 | val_cindex: 0.774722 | best: 0.779005 | remaining: 292.1s
step 02050 | loss: 7.881535 | val_cindex: 0.774770 | best: 0.779005 | remaining: 291.9s
step 02100 | loss: 7.881240 | val_cindex: 0.774732 | best: 0.779005 | remaining: 291.7s
step 02150 | loss: 7.883852 | val_cindex: 0.774653 | best: 0.779005 | remaining: 291.5s
step 02200 | loss: 7.882036 | val_cindex: 0.774163 | best: 0.779005 | remaining: 291.3s
step 02250 | loss: 7.876263 | val_cindex: 0.774106 | best: 0.779005 | remaining: 291.1s
step 02300 | loss: 7.882137 | val_cindex: 0.774428 | best: 0.779005 | remaining: 291.0s
step 02350 | loss: 7.879531 | val_cindex: 0.774017 | best: 0.779005 | remaining: 290.8s
step 02400 | loss: 7.874663 | val_cindex: 0.774121 | best: 0.779005 | remaining: 290.6s
step 02450 | loss: 7.881453 | val_cindex: 0.773716 | best: 0.779005 | remaining: 290.4s
step 02500 | loss: 7.880841 | val_cindex: 0.773967 | best: 0.779005 | remaining: 290.2s
step 02550 | loss: 7.883356 | val_cindex: 0.773153 | best: 0.779005 | remaining: 290.0s
