Device:            cuda
Feature count:     9
Train/val rows:    5988/1498
Time budget:       300s
step 00000 | loss: 8.210695 | val_cindex: 0.760723 | best: 0.760723 | remaining: 299.7s
step 00050 | loss: 8.100966 | val_cindex: 0.766991 | best: 0.766991 | remaining: 299.6s
step 00100 | loss: 8.021327 | val_cindex: 0.764107 | best: 0.766991 | remaining: 299.4s
step 00150 | loss: 7.974855 | val_cindex: 0.770378 | best: 0.770378 | remaining: 299.2s
step 00200 | loss: 7.942970 | val_cindex: 0.775900 | best: 0.775900 | remaining: 299.0s
step 00250 | loss: 7.934341 | val_cindex: 0.777657 | best: 0.777657 | remaining: 298.8s
step 00300 | loss: 7.920948 | val_cindex: 0.778904 | best: 0.778904 | remaining: 298.7s
step 00350 | loss: 7.918735 | val_cindex: 0.778588 | best: 0.778904 | remaining: 298.4s
step 00400 | loss: 7.919587 | val_cindex: 0.778626 | best: 0.778904 | remaining: 298.2s
step 00450 | loss: 7.914214 | val_cindex: 0.778966 | best: 0.778904 | remaining: 298.0s
step 00500 | loss: 7.900037 | val_cindex: 0.778675 | best: 0.778904 | remaining: 297.9s
step 00550 | loss: 7.904816 | val_cindex: 0.777827 | best: 0.778904 | remaining: 297.7s
step 00600 | loss: 7.908654 | val_cindex: 0.777149 | best: 0.778904 | remaining: 297.5s
step 00650 | loss: 7.903810 | val_cindex: 0.776580 | best: 0.778904 | remaining: 297.4s
step 00700 | loss: 7.899849 | val_cindex: 0.777017 | best: 0.778904 | remaining: 297.2s
step 00750 | loss: 7.891989 | val_cindex: 0.776333 | best: 0.778904 | remaining: 297.0s
step 00800 | loss: 7.891680 | val_cindex: 0.777183 | best: 0.778904 | remaining: 296.9s
step 00850 | loss: 7.895501 | val_cindex: 0.776695 | best: 0.778904 | remaining: 296.6s
step 00900 | loss: 7.895533 | val_cindex: 0.776556 | best: 0.778904 | remaining: 296.4s
step 00950 | loss: 7.889394 | val_cindex: 0.776327 | best: 0.778904 | remaining: 296.2s
step 01000 | loss: 7.892311 | val_cindex: 0.776574 | best: 0.778904 | remaining: 296.1s
step 01050 | loss: 7.885842 | val_cindex: 0.777337 | best: 0.778904 | remaining: 295.9s
step 01100 | loss: 7.891338 | val_cindex: 0.777262 | best: 0.778904 | remaining: 295.7s
step 01150 | loss: 7.886329 | val_cindex: 0.777307 | best: 0.778904 | remaining: 295.6s
step 01200 | loss: 7.889061 | val_cindex: 0.776942 | best: 0.778904 | remaining: 295.4s
step 01250 | loss: 7.883232 | val_cindex: 0.777215 | best: 0.778904 | remaining: 295.2s
step 01300 | loss: 7.877869 | val_cindex: 0.777744 | best: 0.778904 | remaining: 295.0s
step 01350 | loss: 7.874923 | val_cindex: 0.778051 | best: 0.778904 | remaining: 294.9s
step 01400 | loss: 7.876418 | val_cindex: 0.777809 | best: 0.778904 | remaining: 294.7s
step 01450 | loss: 7.874640 | val_cindex: 0.778062 | best: 0.778904 | remaining: 294.5s
step 01500 | loss: 7.876234 | val_cindex: 0.778549 | best: 0.778904 | remaining: 294.3s
step 01550 | loss: 7.877741 | val_cindex: 0.777932 | best: 0.778904 | remaining: 294.2s
step 01600 | loss: 7.873981 | val_cindex: 0.777274 | best: 0.778904 | remaining: 294.0s
step 01650 | loss: 7.868287 | val_cindex: 0.777296 | best: 0.778904 | remaining: 293.8s
step 01700 | loss: 7.867464 | val_cindex: 0.777373 | best: 0.778904 | remaining: 293.6s
step 01750 | loss: 7.866244 | val_cindex: 0.776651 | best: 0.778904 | remaining: 293.4s
step 01800 | loss: 7.873778 | val_cindex: 0.776412 | best: 0.778904 | remaining: 293.3s
step 01850 | loss: 7.870941 | val_cindex: 0.775855 | best: 0.778904 | remaining: 293.1s
step 01900 | loss: 7.872112 | val_cindex: 0.775525 | best: 0.778904 | remaining: 292.9s
step 01950 | loss: 7.867783 | val_cindex: 0.775687 | best: 0.778904 | remaining: 292.7s
step 02000 | loss: 7.868186 | val_cindex: 0.775766 | best: 0.778904 | remaining: 292.5s
step 02050 | loss: 7.874328 | val_cindex: 0.775254 | best: 0.778904 | remaining: 292.3s
step 02100 | loss: 7.863760 | val_cindex: 0.775044 | best: 0.778904 | remaining: 292.2s
step 02150 | loss: 7.863751 | val_cindex: 0.774420 | best: 0.778904 | remaining: 292.0s
step 02200 | loss: 7.861595 | val_cindex: 0.775076 | best: 0.778904 | remaining: 291.8s
step 02250 | loss: 7.861980 | val_cindex: 0.774902 | best: 0.778904 | remaining: 291.6s
step 02300 | loss: 7.870785 | val_cindex: 0.775051 | best: 0.778904 | remaining: 291.4s
step 02350 | loss: 7.859207 | val_cindex: 0.774627 | best: 0.778904 | remaining: 291.2s
step 02400 | loss: 7.852305 | val_cindex: 0.774734 | best: 0.778904 | remaining: 291.1s
step 02450 | loss: 7.861892 | val_cindex: 0.774689 | best: 0.778904 | remaining: 290.9s
step 02500 | loss: 7.864742 | val_cindex: 0.774576 | best: 0.778904 | remaining: 290.7s
step 02550 | loss: 7.872707 | val_cindex: 0.773653 | best: 0.778904 | remaining: 290.5s
step 02600 | loss: 7.865477 | val_cindex: 0.775371 | best: 0.778904 | remaining: 290.3s
step 02650 | loss: 7.858805 | val_cindex: 0.775728 | best: 0.778904 | remaining: 290.2s
step 02700 | loss: 7.866852 | val_cindex: 0.775596 | best: 0.778904 | remaining: 290.0s
step 02750 | loss: 7.865306 | val_cindex: 0.774940 | best: 0.778904 | remaining: 289.8s
step 02800 | loss: 7.855117 | val_cindex: 0.775509 | best: 0.778904 | remaining: 289.6s
step 02850 | loss: 7.873686 | val_cindex: 0.773955 | best: 0.778904 | remaining: 289.4s
step 02900 | loss: 7.853936 | val_cindex: 0.776321 | best: 0.778904 | remaining: 289.2s
